stt,age,inc,eth,sex,edu,pop2008
AL,45-64,$40-75k,Hispanic,Male,Some Coll,523
AL,45-64,$40-75k,Hispanic,Male,Coll,182
AL,45-64,$40-75k,Hispanic,Male,Post-Grad,61
AL,45-64,$40-75k,Hispanic,Female,< HS,152
AL,45-64,$40-75k,Hispanic,Female,HS,328
AL,45-64,$40-75k,Hispanic,Female,Some Coll,318
AL,45-64,$40-75k,Hispanic,Female,Coll,122
AL,45-64,$40-75k,Hispanic,Female,Post-Grad,39
AL,45-64,$40-75k,Other,Male,< HS,676
AL,45-64,$40-75k,Other,Male,HS,839
AL,45-64,$40-75k,Other,Male,Some Coll,625
AL,45-64,$40-75k,Other,Male,Coll,380
AL,45-64,$40-75k,Other,Male,Post-Grad,176
AL,45-64,$40-75k,Other,Female,< HS,425
AL,45-64,$40-75k,Other,Female,HS,1410
AL,45-64,$40-75k,Other,Female,Some Coll,1000
AL,45-64,$40-75k,Other,Female,Coll,426
AL,45-64,$40-75k,Other,Female,Post-Grad,345
AL,45-64,$75-150k,White,Male,< HS,7243
AL,45-64,$75-150k,White,Male,HS,31247
AL,45-64,$75-150k,White,Male,Some Coll,37119
