company,ticker,date,price
Alphabet,GOOG,2008-09-26,215.3
Alphabet,GOOG,2008-09-25,219.58
Alphabet,GOOG,2008-09-24,217.34
Alphabet,GOOG,2008-09-23,214.42
Alphabet,GOOG,2008-09-22,214.85
Alphabet,GOOG,2008-09-19,224.35
Alphabet,GOOG,2008-09-18,219.32
Alphabet,GOOG,2008-09-17,207.04
Alphabet,GOOG,2008-09-16,221.24
Alphabet,GOOG,2008-09-15,216.71
Alphabet,GOOG,2008-09-12,218.61
Alphabet,GOOG,2008-09-11,216.66
Alphabet,GOOG,2008-09-10,206.87
Alphabet,GOOG,2008-09-09,209.12
Alphabet,GOOG,2008-09-08,209.76
Alphabet,GOOG,2008-09-05,221.9
Alphabet,GOOG,2008-09-04,224.9
Alphabet,GOOG,2008-09-03,231.97
Alphabet,GOOG,2008-09-02,232.39
Alphabet,GOOG,2008-08-29,231.41
Alphabet,GOOG,2008-08-28,236.65
Alphabet,GOOG,2008-08-27,234.06
Alphabet,GOOG,2008-08-26,236.84
Alphabet,GOOG,2008-08-25,241.26
Alphabet,GOOG,2008-08-22,245.05
Alphabet,GOOG,2008-08-21,243.02
Alphabet,GOOG,2008-08-20,242.26
Alphabet,GOOG,2008-08-19,245
Alphabet,GOOG,2008-08-18,248.9
Alphabet,GOOG,2008-08-15,254.82
Alphabet,GOOG,2008-08-14,252.49
Alphabet,GOOG,2008-08-13,249.76
Alphabet,GOOG,2008-08-12,251.05
Alphabet,GOOG,2008-08-11,250.17
Alphabet,GOOG,2008-08-08,247.26
Alphabet,GOOG,2008-08-07,239.32
Alphabet,GOOG,2008-08-06,242.93
Alphabet,GOOG,2008-08-05,239.69
Alphabet,GOOG,2008-08-04,231.27
Alphabet,GOOG,2008-08-01,233.7
Alphabet,GOOG,2008-07-31,236.64
Alphabet,GOOG,2008-07-30,241.11
Alphabet,GOOG,2008-07-29,241.31
Alphabet,GOOG,2008-07-28,238.32
Alphabet,GOOG,2008-07-25,245.74
Alphabet,GOOG,2008-07-24,237.57
Alphabet,GOOG,2008-07-23,244.37
Alphabet,GOOG,2008-07-22,238.32
Alphabet,GOOG,2008-07-21,234.17
Alphabet,GOOG,2008-07-18,240.42
Alphabet,GOOG,2008-07-17,266.45
Alphabet,GOOG,2008-07-16,267.53
Alphabet,GOOG,2008-07-15,257.79
Alphabet,GOOG,2008-07-14,260.55
Alphabet,GOOG,2008-07-11,266.63
Alphabet,GOOG,2008-07-10,270.02
Alphabet,GOOG,2008-07-09,270.5
Alphabet,GOOG,2008-07-08,276.99
Alphabet,GOOG,2008-07-07,271.68
Alphabet,GOOG,2008-07-03,268.23
Alphabet,GOOG,2008-07-02,263.26
